title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Tetsuwan Birdy Decode,13.0,7.56,22561,2008-07-05,2008-09-27,"['Action', 'Comedy', 'Sci-Fi']","['Aniplex', 'Shogakukan']",['A-1 Pictures'],Finished Airing
Simoun,26.0,7.56,7503,2006-04-03,2006-09-25,"['Military', 'Drama', 'Magic', 'Romance', 'Shoujo Ai']","['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Studio Deen'],Finished Airing
Super GALS! Kotobuki Ran,52.0,7.56,4308,2001-04-01,2002-03-31,"['Comedy', 'Slice of Life', 'Shoujo']",['TV Tokyo'],['Studio Pierrot'],Finished Airing
Shin Chou Kyou Ryo: Condor Hero III,26.0,7.56,418,2008-04-13,2008-05-03,"['Action', 'Adventure', 'Drama', 'Historical', 'Romance']",['Jade Animation'],['Nippon Animation'],Finished Airing
Saiyuuki Reload Gunlock,26.0,7.56,4887,2004-04-02,2004-09-24,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shoujo']",[],['Studio Pierrot'],Finished Airing
Tanoshii Muumin Ikka Bouken Nikki,26.0,7.56,1455,1991-10-10,1992-03-26,"['Kids', 'Slice of Life', 'Adventure', 'Fantasy']","['TV Tokyo', 'Telescreen BV']",[],Finished Airing
Rewrite 2nd Season,,7.56,2372,2017-01-14,,"['Action', 'Comedy', 'Supernatural', 'Romance', 'Fantasy', 'School']","['Aniplex', ""Visual Art's""]",['8bit'],Currently Airing
Hakuouki,12.0,7.56,42381,2010-04-04,2010-06-20,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",[],['Studio Deen'],Finished Airing
Gokinjo Monogatari,50.0,7.56,1717,1995-09-10,1996-09-01,"['Slice of Life', 'Comedy', 'Drama', 'Romance']",[],['Toei Animation'],Finished Airing
Sugar Sugar Rune,51.0,7.56,7204,2005-07-02,2006-06-24,"['Fantasy', 'Magic', 'Shoujo']",['TV Tokyo Music'],['Studio Pierrot'],Finished Airing
Chrome Shelled Regios,24.0,7.56,58227,2009-01-11,2009-06-21,"['Action', 'Adventure', 'Fantasy', 'School', 'Sci-Fi']",['AMG MUSIC'],['Zexcs'],Finished Airing
Genshiken Nidaime,13.0,7.56,14284,2013-07-07,2013-09-29,"['Slice of Life', 'Comedy', 'Parody']",['Starchild Records'],['Production I.G'],Finished Airing
Chobits,26.0,7.56,154673,2002-04-03,2002-09-25,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']","['TBS', 'Pioneer LDC']",['Madhouse'],Finished Airing
Senyuu.,13.0,7.49,28538,2013-01-09,2013-04-03,"['Action', 'Comedy', 'Parody', 'Fantasy', 'Shounen']","['TV Tokyo', 'Bandai Visual', 'Lantis', 'Barnum Studio', 'Dwango', 'Good Smile Company']","['Ordet', 'LIDENFILMS']",Finished Airing
Sentou Mecha Xabungle,50.0,7.49,334,1982-02-06,1983-01-29,"['Mecha', 'Military', 'Sci-Fi', 'Shounen']",['Sotsu'],['Sunrise'],Finished Airing
Qin Shiming Yue Zhi: Zhu Zi Bai Jia,34.0,7.49,79,2010-06-10,2011-01-01,"['Action', 'Fantasy', 'Martial Arts', 'Historical']",['Hang Zhou StarQ'],[],Finished Airing
Saki Zenkoku-hen,13.0,7.49,8940,2014-01-06,2014-04-07,"['Game', 'School', 'Slice of Life']","['TV Tokyo', 'Square Enix', 'Lantis', 'Pony Canyon']",['Studio Gokumi'],Finished Airing
Mnemosyne: Mnemosyne no Musume-tachi,6.0,7.49,44231,2008-02-04,2008-07-07,"['Action', 'Supernatural', 'Horror', 'Sci-Fi', 'Shoujo Ai']","['VAP', 'Sotsu', 'Genco']",['Xebec'],Finished Airing
Kono Bijutsubu ni wa Mondai ga Aru!,12.0,7.49,30800,2016-07-08,2016-09-23,"['Comedy', 'Romance', 'School']","['TBS', 'DAX Production', 'ASCII Media Works', 'King Records']",['feel.'],Finished Airing
Gangsta.,12.0,7.49,108880,2015-07-02,2015-09-24,"['Action', 'Drama', 'Seinen']","['Bandai Visual', 'Frontier Works', 'Lantis', 'DAX Production', 'Tokyo MX']",['Manglobe'],Finished Airing
Doraemon,26.0,7.49,4707,1973-04-01,1973-09-30,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",['Tokyo Movie Shinsha'],[],Finished Airing
Kaze no Shoujo Emily,26.0,7.49,928,2007-04-07,2007-09-29,"['Historical', 'Drama', 'Shoujo']",['NHK'],['TMS Entertainment'],Finished Airing
Yokoyama Mitsuteru Sangokushi,47.0,7.5,1070,1991-10-18,1992-09-25,"['Adventure', 'Historical']","['TV Tokyo', 'd-rights']",[],Finished Airing
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,13.0,7.49,47110,2015-04-03,2015-06-26,"['Comedy', 'Seinen', 'Slice of Life']","['DAX Production', 'Dream Creation']",['Seven'],Finished Airing
Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),12.0,7.49,2243,2007-05-02,2008-04-13,"['Comedy', 'Mecha', 'Sci-Fi']",[],['Production I.G'],Finished Airing
Yama no Susume Second Season,24.0,7.5,4718,2014-07-09,2014-12-24,"['Adventure', 'Comedy', 'Slice of Life']","['Earth Star Entertainment', 'Tokyo MX', 'Good Smile Company']",['8bit'],Finished Airing
Sakigake!! Otokojuku,34.0,7.5,1176,1988-02-25,1988-11-14,"['Action', 'Comedy', 'Martial Arts', 'School', 'Shounen']",['Lantis'],['Toei Animation'],Finished Airing
Moonlight Mile 2nd Season: Touch Down,14.0,7.5,1047,2007-09-13,2007-12-13,"['Adventure', 'Drama', 'Sci-Fi', 'Space']",[],['Studio Hibari'],Finished Airing
Nagasarete Airantou,26.0,7.43,26714,2007-04-05,2007-09-27,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance']",['Square Enix'],['feel.'],Finished Airing
Kindaichi Shounen no Jikenbo Returns,25.0,7.43,2750,2014-04-05,2014-09-27,"['Mystery', 'Shounen']",['Yomiuri Telecasting Corporation'],['Toei Animation'],Finished Airing
Kannagi,13.0,7.43,47661,2008-10-04,2008-12-27,"['Comedy', 'School', 'Shounen', 'Supernatural']","['Aniplex', 'Sony Music Entertainment', 'Ichijinsha']","['A-1 Pictures', 'Ordet']",Finished Airing
Haiyore! Nyaruko-san W,12.0,7.43,45685,2013-04-08,2013-07-01,"['Comedy', 'Parody', 'Sci-Fi']","['Sotsu', 'DIVE II Entertainment']",['Xebec'],Finished Airing
Tekken Chinmi,20.0,7.44,964,1988-07-02,1988-12-24,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Shounen']","['Ashi Productions', 'Studio Jack']",['Production Reed'],Finished Airing
Strike the Blood,24.0,7.44,122266,2013-10-04,2014-03-28,"['Action', 'Harem', 'Supernatural', 'Ecchi', 'Vampire', 'Fantasy', 'School', 'Shounen']","['Movic', 'AT-X', 'Warner Bros.', 'KlockWorx', 'ASCII Media Works', 'Showgate']","['Silver Link.', 'Connect']",Finished Airing
Strawberry Panic,26.0,7.44,33585,2006-04-04,2006-09-26,"['Drama', 'Romance', 'School', 'Shoujo Ai']","['Lantis', 'Dwango']",['Madhouse'],Finished Airing
Shikabane Hime: Kuro,12.0,7.44,22952,2009-01-01,2009-03-26,"['Action', 'Horror']","['Square Enix', 'Starchild Records']","['Gainax', 'feel.']",Finished Airing
Rozen Maiden (2013),13.0,7.44,19511,2013-07-05,2013-09-27,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",['TBS'],['Studio Deen'],Finished Airing
Rekka no Honoo,42.0,7.44,16424,1997-07-19,1998-07-10,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power']",['Fuji TV'],['Studio Pierrot'],Finished Airing
Hiiro no Kakera Dai Ni Shou,13.0,7.37,13256,2012-09-30,2012-12-23,"['Fantasy', 'Romance', 'Shoujo', 'Supernatural']",[],['Studio Deen'],Finished Airing
Digimon Adventure 02,50.0,7.37,81018,2000-04-02,2001-03-25,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Kids']","['Yomiko Advertising', 'Fuji TV']",['Toei Animation'],Finished Airing
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,52.0,7.37,1884,1989-04-03,1990-03-29,"['Adventure', 'Fantasy', 'Comedy', 'Drama', 'Kids']","['TV Tokyo', 'Telescreen BV']",[],Finished Airing
Captain Tsubasa J,47.0,7.37,8835,1994-10-21,1995-12-22,"['Action', 'Shounen', 'Sports']","['Nihon Ad Systems', 'Fuji TV', 'Studio Jack']",['Studio Comet'],Finished Airing
Danball Senki Wars,37.0,7.37,619,2013-04-03,2013-12-25,"['Action', 'Kids', 'Mecha']",[],['OLM'],Finished Airing
Angel Heart,50.0,7.37,3143,2005-10-04,2006-09-26,"['Action', 'Romance', 'Drama', 'Mystery', 'Seinen']",['Aniplex'],['TMS Entertainment'],Finished Airing
Area no Kishi,37.0,7.37,18483,2012-01-07,2012-09-29,"['Comedy', 'School', 'Shounen', 'Sports']",['TV Asahi'],['Shin-Ei Animation'],Finished Airing
Tiger Mask,105.0,7.38,1844,1969-10-02,1971-09-30,"['Action', 'Drama', 'Shounen', 'Sports']",[],['Toei Animation'],Finished Airing
Soukyuu no Fafner: Dead Aggressor,25.0,7.38,9346,2004-07-05,2004-12-27,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",['TV Tokyo Music'],['Xebec'],Finished Airing
Shikabane Hime: Aka,13.0,7.38,30277,2008-10-02,2008-12-25,"['Action', 'Horror', 'Martial Arts']","['Square Enix', 'Starchild Records']","['Gainax', 'feel.']",Finished Airing
Saki Achiga-hen: Episode of Side-A,12.0,7.38,10256,2012-04-09,2012-07-02,"['Game', 'School', 'Slice of Life']","['TV Tokyo', 'Square Enix', 'Sotsu', 'Lantis', 'Pony Canyon']",['Studio Gokumi'],Finished Airing
Rumiko Takahashi Anthology,13.0,7.38,1102,2003-07-06,2003-09-28,"['Comedy', 'Drama', 'Romance', 'Shounen', 'Slice of Life', 'Supernatural']",['Tokyo Movie Shinsha'],[],Finished Airing
RideBack,12.0,7.38,16001,2009-01-12,2009-03-30,"['Action', 'Drama', 'Mecha', 'School', 'Sci-Fi']",['Geneon Universal Entertainment'],['Madhouse'],Finished Airing
Dash! Kappei,65.0,7.31,1357,1981-10-04,1982-12-26,"['Ecchi', 'Sports', 'Comedy', 'Shounen']",[],['Tatsunoko Production'],Finished Airing
Ginga Densetsu Weed,26.0,7.31,4061,2005-11-03,2006-05-11,"['Adventure', 'Drama', 'Shounen']","['Nihon Ad Systems', 'SKY Perfect Well Think']",['Studio Deen'],Finished Airing
Ginga Hyouryuu Vifam,46.0,7.31,280,1983-10-21,1984-09-21,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",[],['Sunrise'],Finished Airing
El Cazador de la Bruja,26.0,7.31,11631,2007-04-03,2007-09-25,"['Adventure', 'Drama', 'Mystery']",['Victor Entertainment'],['Bee Train'],Finished Airing
Fushigiboshi no☆Futagohime Gyu!,52.0,7.31,726,2006-04-01,2007-03-31,"['Magic', 'Comedy', 'Shoujo']","['Hal Film Maker', 'Nihon Ad Systems']",[],Finished Airing
Smile Precure!,48.0,7.32,3537,2012-02-05,2013-01-27,"['Action', 'Fantasy', 'Magic', 'Shoujo']",['Saban Brands'],['Toei Animation'],Finished Airing
Young Black Jack,12.0,7.32,18138,2015-10-02,2015-12-18,"['Drama', 'Historical', 'Seinen']","['TBS', 'Grooove', 'Being']",['Tezuka Productions'],Finished Airing
Aquarion Evol,26.0,7.31,26976,2012-01-09,2012-06-25,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance', 'Sci-Fi']","['Media Factory', 'Bandai', 'Tohokushinsha Film Corporation']","['Satelight', '8bit']",Finished Airing
Dog Days',13.0,7.31,30459,2012-07-07,2012-09-29,"['Action', 'Adventure', 'Magic', 'Fantasy']","['Aniplex', 'Good Smile Company']",['Seven Arcs'],Finished Airing
Princess Nine: Kisaragi Joshikou Yakyuubu,26.0,7.32,2142,1998-04-08,1998-10-14,"['Sports', 'Romance', 'Drama']",['NHK'],['Phoenix Entertainment'],Finished Airing
Uchuu Senkan Yamato III,25.0,7.32,779,1980-10-11,1981-04-04,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama']","['Yomiuri Telecasting Corporation', 'Academy Productions']",[],Finished Airing
Rokujouma no Shinryakusha!? (TV),12.0,7.32,39931,2014-07-12,2014-09-27,"['Comedy', 'Harem', 'Romance', 'School', 'Supernatural']","['Genco', 'Showgate']",['Silver Link.'],Finished Airing
Kidou Tenshi Angelic Layer,26.0,7.32,20671,2001-04-01,2001-09-23,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",['TV Tokyo Music'],['Bones'],Finished Airing
Mama wa Shougaku 4 Nensei,51.0,7.32,675,1992-01-10,1992-12-25,"['Comedy', 'Drama', 'Sci-Fi']",[],['Sunrise'],Finished Airing
Phi Brain: Kami no Puzzle,25.0,7.31,27115,2011-10-02,2012-04-01,"['Action', 'Game', 'Mystery', 'Shounen']",['NHK'],['Sunrise'],Finished Airing
Haiyore! Nyaruko-san,12.0,7.25,74706,2012-04-10,2012-06-26,"['Sci-Fi', 'Comedy', 'Parody']","['TV Tokyo', 'Avex Entertainment', 'Sotsu', 'KlockWorx', 'Cospa', 'SoftBank Creative Corp.', 'Studio Mausu', 'Bulls Eye']",['Xebec'],Finished Airing
H2O: Footprints in the Sand,12.0,7.25,34521,2008-01-04,2008-03-21,"['Harem', 'Romance', 'School']","['NTT Docomo', 'Studio Jack']",['Zexcs'],Finished Airing
Gravitation,13.0,7.25,40842,2000-10-04,2001-01-10,"['Comedy', 'Music', 'Romance', 'Shoujo', 'Shounen Ai']",['Aniplex'],"['Studio Deen', 'Production Reed']",Finished Airing
Digimon Frontier,50.0,7.25,47826,2002-04-07,2003-03-30,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']","['Yomiko Advertising', 'Fuji TV']",['Toei Animation'],Finished Airing
Futari wa Precure: Splash☆Star,49.0,7.25,2010,2006-02-05,2007-01-28,"['Action', 'Comedy', 'Fantasy', 'Magic', 'Shoujo']",['Asahi Broadcasting Corporation'],['Toei Animation'],Finished Airing
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,9.0,7.26,10281,2009-01-14,2009-03-11,"['Action', 'Super Power', 'Magic', 'Romance', 'Fantasy']",[],['Kyoto Animation'],Finished Airing
Toushou Daimos,44.0,7.26,1796,1978-04-01,1979-01-27,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi', 'Shounen']",['Studio Nue'],"['Sunrise', 'Toei Animation']",Finished Airing
Red Baron,49.0,7.26,504,1994-04-05,1995-03-28,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']","['TV Asahi', 'Tokyo Movie Shinsha']",[],Finished Airing
Shin Hakkenden,26.0,7.26,1116,1999-04-03,1999-09-25,"['Action', 'Adventure', 'Martial Arts', 'Sci-Fi']","['TV Tokyo', 'Public &amp; Basic']",[],Finished Airing
Usavich II,13.0,7.26,2329,2007-10-08,2008-01-15,"['Adventure', 'Comedy']",[],['Kanaban Graphics'],Finished Airing
Kaze no Youjinbou,25.0,7.26,1494,2001-10-02,2002-03-26,"['Action', 'Drama', 'Mystery', 'Shounen']",[],['Studio Pierrot'],Finished Airing
Naruto SD: Rock Lee no Seishun Full-Power Ninden,51.0,7.26,12115,2012-04-03,2013-03-26,"['Action', 'Comedy', 'Parody']","['TV Tokyo', 'Shueisha']",['Studio Pierrot'],Finished Airing
Robin Hood no Daibouken,52.0,7.26,2144,1990-07-29,1992-10-28,"['Adventure', 'Historical', 'Romance']",['NHK'],['Tatsunoko Production'],Finished Airing
Joker Game,12.0,7.2,41699,2016-04-05,2016-06-21,"['Drama', 'Historical', 'Military']","['Frontier Works', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Sony Music Communications', 'Hakuhodo DY Music &amp; Pictures', 'Sammy']",['Production I.G'],Finished Airing
Mokke,24.0,7.19,1705,2007-10-03,2008-03-16,"['Slice of Life', 'Supernatural', 'Mystery']","['Kodansha', 'Nagoya TV Housou']",['Madhouse'],Finished Airing
Ojamajo Doremi,51.0,7.19,9526,1999-02-07,2000-01-30,"['Comedy', 'Magic']",['Asahi Broadcasting Corporation'],['Toei Animation'],Finished Airing
Nintama Rantarou,,7.19,815,1993-04-10,,"['Comedy', 'Shounen']",['NHK'],['Ajia-Do'],Currently Airing
Muteki Choujin Zanbot 3,23.0,7.19,496,1977-10-08,1978-03-25,"['Action', 'Mecha', 'Drama', 'Sci-Fi', 'Shounen']","['Sotsu', 'Nagoya TV Housou']",['Sunrise'],Finished Airing
Mahou no Tenshi Creamy Mami,52.0,7.19,1414,1983-07-01,1984-06-29,"['Comedy', 'Fantasy', 'Magic', 'Romance', 'School', 'Sci-Fi', 'Shoujo']",['Kodansha'],['Studio Pierrot'],Finished Airing
Mermaid Melody Pichi Pichi Pitch Pure,39.0,7.19,10290,2004-04-05,2004-12-25,"['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",['Synergy Japan'],"['Actas', 'SynergySP']",Finished Airing
Koisuru Tenshi Angelique: Kagayaki no Ashita,12.0,7.19,1930,2007-01-06,2007-03-24,"['Drama', 'Fantasy', 'Harem', 'Romance', 'Shoujo']","['Kids Station', 'Koei']",['Satelight'],Finished Airing
Freezing,12.0,7.19,92988,2011-01-08,2011-04-07,"['Action', 'Ecchi', 'Martial Arts', 'Harem', 'Romance', 'Drama', 'Sci-Fi', 'Seinen']",['Media Factory'],['A.C.G.T.'],Finished Airing
Chicchana Yukitsukai Sugar,24.0,7.19,6358,2001-10-02,2002-03-26,"['Comedy', 'Fantasy', 'Slice of Life']","['Kadokawa Shoten', 'Broccoli', 'TBS', 'Pioneer LDC']",['J.C.Staff'],Finished Airing
Kyattou Ninden Teyandee,54.0,7.19,3146,1990-02-01,1991-02-12,"['Action', 'Comedy', 'Mecha', 'Super Power', 'Sci-Fi', 'Shounen']","['Sotsu', 'Studio Nue', 'Dongyang Animation']",['Tatsunoko Production'],Finished Airing
Tokimeki Memorial: Only Love,25.0,7.2,11184,2006-10-03,2007-04-03,"['Comedy', 'Harem', 'Romance', 'School']",['Konami'],"['Studio Pierrot', 'AIC A.S.T.A.']",Finished Airing
Sousei no Aquarion,26.0,7.2,20642,2005-04-05,2005-09-27,"['Action', 'Mecha', 'Romance', 'Super Power', 'Supernatural', 'Sci-Fi']","['Media Factory', 'Bandai', 'Tohokushinsha Film Corporation']","['Satelight', 'Production Reed']",Finished Airing
Bubblegum Crisis Tokyo 2040,26.0,7.19,9245,1998-10-08,1999-04-01,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",['Victor Entertainment'],['AIC'],Finished Airing
Seiyou Kottou Yougashiten: Antique,12.0,7.16,10121,2008-07-04,2008-09-19,"['Comedy', 'Shoujo', 'Shounen Ai']","['Fuji TV', 'Sony Music Entertainment']","['Nippon Animation', 'SynergySP', 'Shirogumi']",Finished Airing
Oshiete! Galko-chan,12.0,7.14,23562,2016-01-08,2016-03-25,"['Comedy', 'School', 'Slice of Life']",[],['feel.'],Finished Airing
Ochamegami Monogatari: Korokoro Pollon,46.0,7.14,602,1982-05-08,1984-03-26,"['Parody', 'Magic', 'Comedy']",['Kokusai Eigasha'],[],Finished Airing
Occultic;Nine,12.0,7.14,23879,2016-10-09,2016-12-25,"['Sci-Fi', 'Mystery']","['Aniplex', 'MAGES.', 'Hakuhodo DY Music &amp; Pictures', 'Lawson', 'ABC Animation', 'Contents Seed']",['A-1 Pictures'],Finished Airing
Kamisama Dolls,13.0,7.14,22308,2011-07-06,2011-09-28,"['Action', 'Seinen', 'Supernatural']","['TV Tokyo', 'Shogakukan Productions', 'Media Factory', 'Half H.P Studio', 'AT-X', 'flying DOG', 'Sony Music Communications']","[""Brain's Base""]",Finished Airing
Kamen no Maid Guy,12.0,7.14,13806,2008-04-06,2008-06-22,"['Action', 'Comedy', 'Ecchi', 'Super Power']","['Geneon Universal Entertainment', 'Frontier Works', 'Rondo Robe', 'AT-X', 'KlockWorx']",['Madhouse'],Finished Airing
Jitsu wa Watashi wa,13.0,7.14,46723,2015-07-07,2015-09-29,"['Comedy', 'Supernatural', 'Romance', 'Fantasy', 'School', 'Shounen']","['TV Tokyo', 'Sotsu', 'DAX Production']","['TMS Entertainment', '3xCube']",Finished Airing
Galaxy Angel,24.0,7.14,7588,2001-04-08,2001-09-30,"['Comedy', 'Sci-Fi']","['Bandai Visual', 'Broccoli', 'Studio Jack']",['Madhouse'],Finished Airing
Gakusen Toshi Asterisk,12.0,7.14,96515,2015-10-03,2015-12-19,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Supernatural']","['Aniplex', 'Animax', 'Movic', 'DAX Production', 'flying DOG', 'Bandai Namco Entertainment', 'Asahi Broadcasting Corporation']",['A-1 Pictures'],Finished Airing
Dragon Quest: Abel Yuusha Densetsu,43.0,7.14,521,1989-12-02,1991-04-05,"['Action', 'Adventure', 'Fantasy', 'Shounen']","['Studio Comet', 'Nihon Ad Systems']",[],Finished Airing
D.C.S.S: Da Capo Second Season,26.0,7.14,11828,2005-07-02,2005-12-24,"['Comedy', 'Harem', 'Romance', 'Supernatural', 'Drama']",[],['feel.'],Finished Airing
Choujigen Game Neptune The Animation,12.0,7.14,28662,2013-07-12,2013-09-27,"['Action', 'Comedy', 'Fantasy', 'Parody', 'Sci-Fi', 'Supernatural']","['Frontier Works', 'Media Factory', 'Idea Factory', 'Magic Capsule']",['David Production'],Finished Airing
Furusato Saisei: Nihon no Mukashibanashi,,7.1,1910,2012-04-01,,"['Kids', 'Supernatural', 'Historical']","['TV Tokyo', 'Sony Music Entertainment', 'Peter Pan Creation']",['Tomason'],Currently Airing
El Hazard: The Wanderers,26.0,7.1,4394,1995-10-06,1996-03-29,"['Adventure', 'Comedy', 'Romance', 'Fantasy']","['TV Tokyo', 'Geneon Universal Entertainment', 'SoftX', 'Pioneer LDC', 'TV Tokyo Music', 'Atelier Musa']",['AIC'],Finished Airing
Dae Jang Geum: Jang Geum's Dream 2,26.0,7.14,138,2007-03-14,2007-09-19,"['Adventure', 'Comedy', 'Historical']",['Heewon Entertainment'],[],Finished Airing
gdgd Fairies 2,12.0,7.14,646,2013-01-10,2013-03-28,"['Comedy', 'Fantasy']","['Strawberry Meets Pictures', 'Bouncy']",[],Finished Airing
Bubuki Buranki: Hoshi no Kyojin,12.0,7.07,4381,2016-10-01,2016-12-17,"['Action', 'Sci-Fi', 'Drama', 'Mecha']","['Dentsu', 'AT-X', 'Ultra Super Pictures', 'Sony Music Communications', 'Bushiroad', 'Sammy', 'Kadokawa Media (Taiwan)', 'Tose']",['SANZIGEN'],Finished Airing
Black★Rock Shooter (TV),8.0,7.07,106166,2012-02-03,2012-03-23,"['Action', 'Drama', 'School', 'Slice of Life']","['Aniplex', 'Dentsu', 'Fuji TV', 'Ultra Super Pictures', 'Sony Music Entertainment', 'Fuji Pacific Music Publishing', 'Good Smile Company']","['Ordet', 'SANZIGEN']",Finished Airing
Bakusou Kyoudai Let's & Go WGP,51.0,7.07,1498,1997-01-06,1997-12-22,"['Cars', 'Shounen', 'Sports']",[],['Xebec'],Finished Airing
Yumekui Merry,13.0,7.08,43571,2011-01-07,2011-04-08,"['Action', 'Supernatural', 'Shounen']","['Pony Canyon', 'TBS', 'Magic Capsule', 'Houbunsha', 'RAY']",['J.C.Staff'],Finished Airing
Ace wo Nerae!,26.0,7.07,1057,1973-10-05,1974-03-29,"['Sports', 'Drama', 'Romance', 'School', 'Shoujo']","['Tokyo Movie Shinsha', 'Mainichi Broadcasting System']",['Madhouse'],Finished Airing
Tsuyoshi Shikkari Shinasai,112.0,7.08,176,1992-10-04,1994-12-25,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']",['Studio Comet'],[],Finished Airing
Battle Spirits: Sword Eyes,29.0,7.07,215,2012-09-09,2013-03-31,"['Action', 'Shounen']",['Nagoya TV Housou'],['Sunrise'],Finished Airing
Futari wa Precure: Max Heart,47.0,7.04,3099,2005-02-06,2006-01-29,"['Action', 'Comedy', 'Fantasy', 'Magic', 'Shoujo']",['Asahi Broadcasting Corporation'],['Toei Animation'],Finished Airing
Zombie-Loan,11.0,7.06,46053,2007-07-04,2007-09-12,"['Action', 'Horror', 'Shounen', 'Supernatural']",['Nihon Ad Systems'],['Xebec'],Finished Airing
Digimon Xros Wars,30.0,7.04,10335,2010-07-06,2011-03-08,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",['TV Asahi'],['Toei Animation'],Finished Airing
Daitoshokan no Hitsujikai,12.0,7.04,21306,2014-10-09,2014-12-25,"['Harem', 'Romance', 'School']",['Felix Film'],['Hoods Entertainment'],Finished Airing
Ai no Senshi Rainbowman,22.0,7.04,129,1982-10-10,1983-03-27,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",['Tsuchida Productions'],[],Finished Airing
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,48.0,7.04,7116,1998-04-06,1999-03-29,"['Comedy', 'Magic', 'Supernatural']",['Bandai Visual'],['OLM'],Finished Airing
Zettai Shounen,26.0,7.05,2321,2005-05-21,2005-11-19,"['Fantasy', 'Drama', 'Mystery', 'Sci-Fi', 'Shounen']","['Bandai Visual', 'Mellow Head', 'Genco', 'Ginga Ya', 'Trilogy Future Studio']",['Ajia-Do'],Finished Airing
Tetsujin 28-gou (1980),51.0,7.05,308,1980-10-03,1981-09-25,"['Action', 'Mecha']","['Tokyo Movie Shinsha', 'Studio Jack']",[],Finished Airing
Taimadou Gakuen 35 Shiken Shoutai,12.0,7.05,51599,2015-10-08,2015-12-24,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Military', 'Romance', 'Supernatural']",['MAGES.'],['Silver Link.'],Finished Airing
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,13.0,6.99,2934,2004-01-08,2004-04-01,"['Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Samurai', 'Shounen']",['TV Tokyo Music'],['Madhouse'],Finished Airing
Mobile Suit Victory Gundam,51.0,6.98,4855,1993-04-02,1994-03-25,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['TV Asahi', 'Sotsu', 'Apollon']","['Sunrise', 'Studio Deen']",Finished Airing
Kyoukai no Rinne (TV),25.0,6.98,15853,2015-04-04,2015-09-19,"['Comedy', 'Supernatural', 'Romance', 'School', 'Shounen']","['Shogakukan Productions', 'NHK']","[""Brain's Base""]",Finished Airing
Kiddy GiRL-AND,24.0,6.98,4463,2009-10-16,2010-03-26,"['Action', 'Comedy', 'Sci-Fi', 'Super Power']","['Kadokawa Shoten', 'gimik']",['Satelight'],Finished Airing
Kinnikuman II Sei: Ultimate Muscle,13.0,6.98,1283,2004-04-07,2004-06-30,"['Action', 'Comedy', 'Martial Arts', 'Sci-Fi', 'Shounen', 'Sports']",[],['Toei Animation'],Finished Airing
