title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Hanakappa,5.421052631578948,2.6420842943181335,19,2,2,1,1,3,2,5,1,0,2
Itazura Tenshi Chippo-chan,7.153846153846154,1.8747780933775293,13,0,0,0,0,4,1,3,2,0,3
Iruka to Shounen,4.724137931034483,2.376560129670728,29,6,1,2,2,4,5,7,2,0,0
Inumarudashi,5.621621621621622,2.1729460802423546,37,2,1,3,4,8,6,6,4,1,2
Ikkyuu-san (1978),6.964285714285714,1.9176276798083998,28,1,0,0,1,1,9,7,2,4,3
Ikinari Dagon,5.555555555555555,1.257078722109418,9,0,0,1,0,4,1,3,0,0,0
Ikemen Kyuugo-tai Nurse Angels,5.4,1.9078784028338915,10,0,0,1,3,2,2,1,0,0,1
Kobo-chan,6.770491803278689,1.7310419739297438,61,1,0,1,3,7,14,15,10,7,3
Manga Hajimete Monogatari,6.428571428571429,2.004077476200021,35,1,0,2,2,7,3,10,5,3,2
Manga Doushite Monogatari,6.714285714285714,1.5084794344244912,28,0,0,0,3,3,5,9,5,2,1
Manga Aesop Monogatari (TV),6.512195121951219,1.9521339320745112,41,1,0,1,3,5,14,5,5,3,4
Mama Ohanashi Kikasete,7.833333333333333,2.034425935955617,6,0,0,0,1,0,0,1,2,0,2
Machine Robo: Butchigiri Battle Hackers,6.195121951219512,1.4852036436720322,41,0,0,1,4,9,10,9,6,1,1
Nana Moon,5.8,3.655133376499413,5,1,1,0,0,0,0,1,0,1,1
Nameko: Sekai no Tomodachi,5.733333333333333,3.021405118299909,15,3,0,0,1,2,5,0,0,1,3
Ojamanga Yamada-kun,7.767441860465116,1.9864331631686163,43,0,1,1,1,2,6,5,9,8,10
Ocha-ken: Hotto Monogatari,6.666666666666667,0.4714045207910317,3,0,0,0,0,0,1,2,0,0,0
Ougon Senshi Gold Lightan,6.238095238095238,1.7969487870584007,63,0,3,2,6,7,14,16,11,2,2
Nyuru Nyuru!! Kakusen-kun,5.333333333333333,2.365326878431407,51,3,4,3,6,13,12,0,4,1,5
